Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,I/O Register,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,Row Global,SERDESIF Blocks,SERDESIF Lanes,EPCS,HPMS,10/100/1000 Ethernet,RCOSC_50MHZ
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/L31.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/Primitives,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/R1.r_corefifo_resetSync/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/R1.w_corefifo_resetSync/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/RW1.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,36,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_TX/TL_0/L31.U_corefifo_async/Primitives,103,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_TX/TL_0/L31.U_corefifo_async/Rd_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_TX/TL_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_TX/TL_0/L31.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_TX/TL_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_TX/TL_0/Primitives,66,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_TX/TL_0/R1.r_corefifo_resetSync/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_TX/TL_0/RW1.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,36,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/Primitives,80,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/trigger_fifo_irq_instance/trigger_fifo_0/L31.U_corefifo_async/Primitives,42,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/trigger_fifo_irq_instance/trigger_fifo_0/L31.U_corefifo_async/Rd_corefifo_NstagesSync/Primitives,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/trigger_fifo_irq_instance/trigger_fifo_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/trigger_fifo_irq_instance/trigger_fifo_0/L31.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/trigger_fifo_irq_instance/trigger_fifo_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/trigger_fifo_irq_instance/trigger_fifo_0/RW1.UI_ram_wrapper_1/U2_asyncnonpipe/Primitives,0,0,36,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CPDMCK40_buf/Primitives,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DCLK00_buf/Primitives,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EPCS_Demo_instance/CCC_0/Primitives,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
EPCS_Demo_instance/CORECONFIGP_0/Primitives,65,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPCS_Demo_instance/CORERESETP_0/MSS_HPMS_READY_int_rep_RNIOB72/Primitives,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EPCS_Demo_instance/CORERESETP_0/Primitives,42,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EPCS_Demo_instance/ConfigMaster_0/Primitives,972,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPCS_Demo_instance/CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,41,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPCS_Demo_instance/CoreAHBLite_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPCS_Demo_instance/CoreAHBLite_0/matrix4x16/slavestage_16/Primitives,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPCS_Demo_instance/CoreAHBLite_0/matrix4x16/slavestage_16/slave_arbiter/Primitives,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPCS_Demo_instance/EPCS_Demo_sb_HPMS_0/Primitives,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
EPCS_Demo_instance/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FPGACK80_buf/Primitives,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GBTx_interface_instance/GBTx_data_fifo_instance/GBTx_data_fifo_0/L31.U_corefifo_async/Primitives,103,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/GBTx_data_fifo_instance/GBTx_data_fifo_0/L31.U_corefifo_async/Rd_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/GBTx_data_fifo_instance/GBTx_data_fifo_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/GBTx_data_fifo_instance/GBTx_data_fifo_0/L31.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/GBTx_data_fifo_instance/GBTx_data_fifo_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/GBTx_data_fifo_instance/GBTx_data_fifo_0/Primitives,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/GBTx_data_fifo_instance/GBTx_data_fifo_0/R1.r_corefifo_resetSync/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/GBTx_data_fifo_instance/GBTx_data_fifo_0/R1.w_corefifo_resetSync/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/GBTx_data_fifo_instance/GBTx_data_fifo_0/RW1.UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,144,144,0,0,0,0,4,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/Primitives,837,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/fake_gbt_instance/Primitives,76,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/fake_gbt_instance/fake_l1msg_fifo_instance/fake_l1msg_fifo_0/L1.fifo_corefifo_sync_scntr/Primitives,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/fake_gbt_instance/fake_l1msg_fifo_instance/fake_l1msg_fifo_0/Primitives,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/fake_gbt_instance/fake_l1msg_fifo_instance/fake_l1msg_fifo_0/RW1.UI_ram_wrapper_1/U5_syncnonpipe/Primitives,0,0,108,108,0,0,0,3,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/l1msg_gbtck_instance/l1msg_gbtck_0/L1.fifo_corefifo_sync_scntr/Primitives,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/l1msg_gbtck_instance/l1msg_gbtck_0/Primitives,71,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/l1msg_gbtck_instance/l1msg_gbtck_0/RW1.UI_ram_wrapper_1/U5_syncnonpipe/Primitives,2,0,1440,1440,0,0,0,40,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/l1msg_instance/l1msg_0/L31.U_corefifo_async/Primitives,87,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/l1msg_instance/l1msg_0/L31.U_corefifo_async/Rd_corefifo_NstagesSync/Primitives,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/l1msg_instance/l1msg_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
